Country_code,Date,New_confirmed,New_deaths

AF,2020-04-16,56,5

AF,2020-04-15,70,2

AF,2020-04-14,49,2

AF,2020-04-13,58,3

AF,2020-04-12,52,0

AF,2020-04-11,34,3

AF,2020-04-10,37,0

AF,2020-04-09,40,1

AF,2020-04-08,21,0

AF,2020-04-07,56,3

AF,2020-04-06,18,4

AF,2020-04-05,50,0

AF,2020-04-04,18,1

AF,2020-04-03,8,0

AF,2020-04-02,36,2

AF,2020-04-01,63,0

AF,2020-03-31,4,0

AF,2020-03-30,50,0

AF,2020-03-29,10,0

AF,2020-03-28,0,0

AF,2020-03-27,16,0

AF,2020-03-26,10,2

AF,2020-03-25,10,1

AF,2020-03-24,34,0

AF,2020-03-23,0,0

AF,2020-03-22,16,1

AF,2020-03-20,2,0

AF,2020-03-17,1,0

AF,2020-03-16,5,0

AF,2020-03-15,5,0

AF,2020-03-14,4,0

AF,2020-03-13,0,0

AF,2020-03-11,2,0

AF,2020-03-10,1,0

AF,2020-03-08,3,0

AF,2020-02-24,1,0

AL,2020-04-16,24,1

AL,2020-04-15,19,1

AL,2020-04-14,8,1

AL,2020-04-13,21,0

AL,2020-04-12,13,0

AL,2020-04-11,17,0

AL,2020-04-10,7,0

AL,2020-04-09,9,1

AL,2020-04-08,17,0

AL,2020-04-07,6,1

AL,2020-04-06,16,1

AL,2020-04-05,28,0

AL,2020-04-04,29,3

AL,2020-04-03,27,1

AL,2020-04-02,18,1

AL,2020-04-01,16,0

AL,2020-03-31,20,4

AL,2020-03-30,11,1

AL,2020-03-29,15,0

AL,2020-03-28,11,2

AL,2020-03-27,12,2

AL,2020-03-26,28,1

AL,2020-03-25,23,0

AL,2020-03-24,19,1

AL,2020-03-23,15,2

AL,2020-03-22,13,0

AL,2020-03-21,6,0

AL,2020-03-20,6,0

AL,2020-03-19,5,0

AL,2020-03-18,4,1

AL,2020-03-17,4,0

AL,2020-03-16,9,0

AL,2020-03-15,4,0

AL,2020-03-14,5,0

AL,2020-03-13,10,0

AL,2020-03-12,11,0

AL,2020-03-11,2,1

AL,2020-03-10,8,0

AL,2020-03-09,2,0

DZ,2020-04-16,0,0

DZ,2020-04-15,90,10

DZ,2020-04-14,87,13

DZ,2020-04-13,69,20

DZ,2020-04-12,89,18

DZ,2020-04-11,64,19

DZ,2020-04-10,95,21

DZ,2020-04-09,94,30

DZ,2020-04-08,104,12

DZ,2020-04-07,45,20

DZ,2020-04-06,103,21

DZ,2020-04-05,69,22

DZ,2020-04-04,80,25

DZ,2020-04-03,185,19

DZ,2020-04-02,139,28

DZ,2020-04-01,131,14

DZ,2020-03-31,132,9

DZ,2020-03-30,73,4

DZ,2020-03-29,57,2

DZ,2020-03-28,45,3

DZ,2020-03-27,42,1

DZ,2020-03-26,65,4

DZ,2020-03-25,38,2

DZ,2020-03-24,34,2

DZ,2020-03-23,29,0

DZ,2020-03-22,62,2

DZ,2020-03-21,49,4

DZ,2020-03-20,3,2

DZ,2020-03-19,13,2

DZ,2020-03-18,14,3

DZ,2020-03-17,6,0

DZ,2020-03-16,6,0

DZ,2020-03-15,11,1

DZ,2020-03-14,11,1

DZ,2020-03-13,2,1

DZ,2020-03-12,0,0

DZ,2020-03-11,6,2

DZ,2020-03-09,1,0

DZ,2020-03-08,2,0

DZ,2020-03-06,5,0

DZ,2020-03-04,7,0

DZ,2020-03-03,2,0

DZ,2020-03-02,2,0

DZ,2020-02-25,1,0

AD,2020-04-16,0,0

AD,2020-04-15,14,2

AD,2020-04-14,13,2

AD,2020-04-13,8,0

AD,2020-04-12,37,3

AD,2020-04-11,0,0

AD,2020-04-10,18,1

AD,2020-04-09,19,2

AD,2020-04-08,19,1

AD,2020-04-07,20,1

AD,2020-04-06,24,3

AD,2020-04-05,35,1

AD,2020-04-04,27,1

AD,2020-04-03,11,1

AD,2020-04-02,38,1

AD,2020-04-01,14,2

AD,2020-03-31,6,4

AD,2020-03-30,36,2

AD,2020-03-29,26,3

AD,2020-03-28,41,0

AD,2020-03-27,43,0

AD,2020-03-26,36,2

AD,2020-03-25,24,0

AD,2020-03-24,31,0

AD,2020-03-23,20,0

AD,2020-03-22,25,1

AD,2020-03-21,13,0

AD,2020-03-20,22,0

AD,2020-03-19,14,0

AD,2020-03-17,37,0

AD,2020-03-16,1,0

AD,2020-03-13,0,0

AD,2020-03-12,0,0

AD,2020-03-11,0,0

AD,2020-03-02,1,0

AO,2020-04-16,0,0

AO,2020-04-15,0,0

AO,2020-04-14,0,0

AO,2020-04-13,0,0

AO,2020-04-12,0,0

AO,2020-04-11,0,0

AO,2020-04-10,0,0

AO,2020-04-09,0,0

AO,2020-04-08,2,0

AO,2020-04-07,1,0

AO,2020-04-06,2,0

AO,2020-04-05,4,0

AO,2020-04-04,2,0

AO,2020-04-03,0,0

AO,2020-04-02,0,0

AO,2020-04-01,1,0

AO,2020-03-31,0,0

AO,2020-03-30,0,0

AO,2020-03-29,2,2

AO,2020-03-28,1,0

AO,2020-03-27,0,0

AO,2020-03-26,1,0

AO,2020-03-25,0,0

AO,2020-03-24,0,0

AO,2020-03-23,1,0

AO,2020-03-21,1,0

AO,2020-03-20,1,0

AG,2020-04-16,0,1

AG,2020-04-15,0,0

AG,2020-04-14,0,0

AG,2020-04-13,2,0

AG,2020-04-12,0,0

AG,2020-04-11,2,0

AG,2020-04-10,0,0

AG,2020-04-09,0,0

AG,2020-04-08,0,1

AG,2020-04-07,4,1

AG,2020-04-06,0,0

AG,2020-04-05,0,0

AG,2020-04-04,0,0

AG,2020-04-03,6,0

AG,2020-04-02,2,0

AG,2020-04-01,0,0

AG,2020-03-31,0,0

AG,2020-03-30,0,0

AG,2020-03-29,0,0

AG,2020-03-28,0,0

AG,2020-03-27,0,0

AG,2020-03-26,4,0

AG,2020-03-25,0,0

AG,2020-03-24,0,0

AG,2020-03-23,2,0

AG,2020-03-15,0,0

AG,2020-03-13,0,0

AG,2020-03-11,1,0

AR,2020-04-16,128,4

AR,2020-04-15,166,9

AR,2020-04-14,69,5

AR,2020-04-13,66,7

AR,2020-04-12,167,7

AR,2020-04-11,0,1

AR,2020-04-10,180,10

AR,2020-04-09,80,9

AR,2020-04-08,87,7

AR,2020-04-07,74,8

AR,2020-04-06,103,4

AR,2020-04-05,0,1

AR,2020-04-04,186,4

AR,2020-04-03,132,3

AR,2020-04-02,79,8

AR,2020-04-01,0,1

AR,2020-03-31,234,4

AR,2020-03-30,75,4

AR,2020-03-29,55,1

AR,2020-03-28,101,5

AR,2020-03-27,87,4

AR,2020-03-26,115,1

AR,2020-03-25,0,2

AR,2020-03-24,121,2

AR,2020-03-23,41,0

AR,2020-03-22,67,0

AR,2020-03-21,30,1

AR,2020-03-20,31,0

AR,2020-03-19,18,1

AR,2020-03-18,11,0

AR,2020-03-17,12,0

AR,2020-03-16,11,0

AR,2020-03-15,11,0

AR,2020-03-14,3,0

AR,2020-03-13,12,1

AR,2020-03-11,2,0

AR,2020-03-10,5,0

AR,2020-03-08,4,1

AR,2020-03-07,6,0

AR,2020-03-06,1,0

AR,2020-03-04,0,0

AR,2020-03-03,1,0

AM,2020-04-16,48,1

AM,2020-04-15,44,1

AM,2020-04-14,28,2

AM,2020-04-13,26,1

AM,2020-04-12,46,0

AM,2020-04-11,30,1

AM,2020-04-10,16,2

AM,2020-04-09,40,1

AM,2020-04-08,28,1

AM,2020-04-07,20,0

AM,2020-04-06,11,1

AM,2020-04-05,52,0

AM,2020-04-04,34,0

AM,2020-04-03,73,0

AM,2020-04-02,92,3

AM,2020-04-01,39,1

AM,2020-03-31,50,0

AM,2020-03-30,58,0

AM,2020-03-29,17,2

AM,2020-03-28,78,0

AM,2020-03-27,39,0

AM,2020-03-26,25,1

AM,2020-03-25,16,0

AM,2020-03-24,14,0

AM,2020-03-23,41,0

AM,2020-03-22,34,0

AM,2020-03-21,24,0

AM,2020-03-20,21,0

AM,2020-03-19,31,0

AM,2020-03-18,6,0

AM,2020-03-17,26,0

AM,2020-03-16,26,0

AM,2020-03-15,8,0

AM,2020-03-14,10,0

AM,2020-03-13,4,0

AM,2020-03-12,0,0

AM,2020-03-11,7,0

AM,2020-03-01,1,0

AW,2020-04-16,89,1

AW,2020-03-18,1,0

AW,2020-03-17,1,0

AW,2020-03-13,0,0

AW,2020-03-11,2,0

AU,2020-04-16,28,0

AU,2020-04-15,25,1

AU,2020-04-14,64,1

AU,2020-04-13,36,1

AU,2020-04-12,12,3

AU,2020-04-11,88,3

AU,2020-04-10,107,3

AU,2020-04-09,98,1

AU,2020-04-08,115,5

AU,2020-04-07,98,5

AU,2020-04-06,110,5

AU,2020-04-05,137,5

AU,2020-04-04,220,2

AU,2020-04-03,214,4

AU,2020-04-02,254,4

AU,2020-04-01,303,2

AU,2020-03-31,198,1

AU,2020-03-30,377,1

AU,2020-03-29,344,2

AU,2020-03-28,497,1

AU,2020-03-27,333,0

AU,2020-03-26,446,5

AU,2020-03-25,320,0

AU,2020-03-24,362,1

AU,2020-03-23,368,0

AU,2020-03-22,243,0

AU,2020-03-21,280,0

AU,2020-03-20,110,1

AU,2020-03-19,113,0

AU,2020-03-18,116,1

AU,2020-03-17,75,2

AU,2020-03-16,80,0

AU,2020-03-15,47,0

AU,2020-03-14,50,0

AU,2020-03-13,72,0

AU,2020-03-11,21,0

AU,2020-03-10,16,0

AU,2020-03-09,15,0

AU,2020-03-08,13,2

AU,2020-03-07,3,0

AU,2020-03-06,5,0

AU,2020-03-05,3,0

AU,2020-03-04,13,1

AU,2020-03-03,9,0

AU,2020-03-02,3,0

AU,2020-03-01,2,1

AU,2020-02-29,2,0

AU,2020-02-27,1,0

AU,2020-02-22,3,0

AU,2020-02-21,4,0

AU,2020-02-17,0,0

AU,2020-02-13,0,0

AU,2020-02-09,0,0

AU,2020-02-07,1,0

AU,2020-02-06,1,0

AU,2020-02-04,1,0

AU,2020-02-02,0,0

AU,2020-02-01,0,0

AU,2020-02-01,1,0

AU,2020-01-31,3,0

AU,2020-01-31,0,0

AU,2020-01-30,0,0

AU,2020-01-30,0,0

AU,2020-01-29,4,0

AU,2020-01-29,0,0

AU,2020-01-28,0,0

AU,2020-01-28,0,0

AU,2020-01-27,0,0

AU,2020-01-27,0,0

AU,2020-01-26,1,0

AU,2020-01-26,0,0

AU,2020-01-25,0,0

AU,2020-01-25,0,0

AU,2020-01-24,4,0

AU,2020-01-23,0,0

AU,2020-01-22,0,0

AT,2020-04-16,115,0

AT,2020-04-15,110,9

AT,2020-04-14,185,16

AT,2020-04-13,96,18

AT,2020-04-12,139,13

AT,2020-04-11,251,18

AT,2020-04-10,311,24

AT,2020-04-09,302,22

AT,2020-04-08,303,30

AT,2020-04-07,342,23

AT,2020-04-06,246,16

AT,2020-04-05,270,18

AT,2020-04-04,257,18

AT,2020-04-03,395,10

AT,2020-04-02,418,12

AT,2020-04-01,531,18

AT,2020-03-31,562,20

AT,2020-03-30,830,22

AT,2020-03-29,517,18

AT,2020-03-28,614,10

AT,2020-03-27,748,9

AT,2020-03-26,1321,19

AT,2020-03-25,305,2

AT,2020-03-24,809,7

AT,2020-03-23,1230,5

AT,2020-03-22,430,8

AT,2020-03-21,426,2

AT,2020-03-20,375,0

AT,2020-03-19,367,2

AT,2020-03-18,314,1

AT,2020-03-17,314,0

AT,2020-03-16,158,2

AT,2020-03-15,205,0

AT,2020-03-14,151,0

AT,2020-03-13,202,0

AT,2020-03-12,56,1

AT,2020-03-11,64,0

AT,2020-03-10,51,0

AT,2020-03-09,27,0

AT,2020-03-08,25,0

AT,2020-03-07,24,0

AT,2020-03-06,14,0

AT,2020-03-05,12,0

AT,2020-03-04,8,0

AT,2020-03-03,3,0

AT,2020-03-02,4,0

AT,2020-03-01,5,0

AT,2020-02-29,6,0

AT,2020-02-27,1,0

AT,2020-02-26,0,0

AT,2020-02-25,2,0

AZ,2020-04-16,30,2

AZ,2020-04-15,56,0

AZ,2020-04-14,49,1

AZ,2020-04-13,50,1

AZ,2020-04-12,40,0

AZ,2020-04-11,67,1

AZ,2020-04-10,65,1

AZ,2020-04-09,104,1

AZ,2020-04-08,105,0

AZ,2020-04-07,76,1

AZ,2020-04-06,57,0

AZ,2020-04-05,63,2

AZ,2020-04-04,78,0

AZ,2020-04-03,43,0

AZ,2020-04-02,41,0

AZ,2020-04-01,61,0

AZ,2020-03-31,25,1

AZ,2020-03-30,64,0

AZ,2020-03-29,27,0

AZ,2020-03-28,17,1

AZ,2020-03-27,43,0

AZ,2020-03-26,29,1

AZ,2020-03-25,6,1

AZ,2020-03-24,15,0

AZ,2020-03-23,7,0

AZ,2020-03-22,12,0

AZ,2020-03-21,9,0

AZ,2020-03-19,16,0

AZ,2020-03-17,13,0

AZ,2020-03-16,0,0

AZ,2020-03-13,12,1

AZ,2020-03-11,0,0

AZ,2020-03-10,2,0

AZ,2020-03-07,3,0

AZ,2020-03-05,3,0

AZ,2020-03-01,2,0

AZ,2020-02-28,1,0

BS,2020-04-16,4,0

BS,2020-04-15,0,0

BS,2020-04-14,2,0

BS,2020-04-13,1,0

BS,2020-04-12,0,0

BS,2020-04-11,4,0

BS,2020-04-10,1,0

BS,2020-04-09,1,1

BS,2020-04-08,7,1

BS,2020-04-07,4,1

BS,2020-04-06,1,1

BS,2020-04-05,0,0

BS,2020-04-04,4,3

BS,2020-04-03,0,0

BS,2020-04-02,3,0

BS,2020-04-01,7,1

BS,2020-03-31,0,0

BS,2020-03-30,3,0

BS,2020-03-29,1,0

BS,2020-03-28,0,0

BS,2020-03-27,1,0

BS,2020-03-26,4,0

BS,2020-03-25,0,0

BS,2020-03-24,1,0

BS,2020-03-23,0,0

BS,2020-03-21,1,0

BS,2020-03-19,2,0

BS,2020-03-16,1,0

BH,2020-04-16,27,0

BH,2020-04-15,143,0

BH,2020-04-14,167,1

BH,2020-04-13,225,0

BH,2020-04-12,96,0

BH,2020-04-11,115,0

BH,2020-04-10,38,1

BH,2020-04-09,64,0

BH,2020-04-08,12,0

BH,2020-04-07,55,1

BH,2020-04-06,56,0

BH,2020-04-05,12,0

BH,2020-04-04,16,0

BH,2020-04-03,29,0

BH,2020-04-02,74,0

BH,2020-04-01,2,0

BH,2020-03-31,52,0

BH,2020-03-30,16,0

BH,2020-03-29,23,0

BH,2020-03-28,10,0

BH,2020-03-27,8,0

BH,2020-03-26,39,0

BH,2020-03-25,27,1

BH,2020-03-24,15,1

BH,2020-03-23,45,0

BH,2020-03-22,27,1

BH,2020-03-21,20,0

BH,2020-03-20,7,0

BH,2020-03-19,22,0

BH,2020-03-18,28,0

BH,2020-03-17,14,0

BH,2020-03-16,0,1

BH,2020-03-14,25,0

BH,2020-03-13,0,0

BH,2020-03-11,85,0

BH,2020-03-10,15,0

BH,2020-03-09,10,0

BH,2020-03-07,25,0

BH,2020-03-06,5,0

BH,2020-03-05,3,0

BH,2020-03-04,3,0

BH,2020-03-02,2,0

BH,2020-03-01,6,0

BH,2020-02-29,5,0

BH,2020-02-28,3,0

BH,2020-02-26,10,0

BH,2020-02-25,22,0

BH,2020-02-24,1,0

BD,2020-04-16,341,10

BD,2020-04-15,219,4

BD,2020-04-14,209,7

BD,2020-04-13,182,5

BD,2020-04-12,139,4

BD,2020-04-11,58,3

BD,2020-04-10,94,6

BD,2020-04-09,112,1

BD,2020-04-08,54,3

BD,2020-04-07,41,5

BD,2020-04-06,35,3

BD,2020-04-05,18,1

BD,2020-04-04,9,2

BD,2020-04-03,5,0

BD,2020-04-02,2,0

BD,2020-04-01,3,1

BD,2020-03-31,2,0

BD,2020-03-30,1,0

BD,2020-03-29,0,0

BD,2020-03-28,0,0

BD,2020-03-27,4,0

BD,2020-03-26,5,0

BD,2020-03-25,0,1

BD,2020-03-24,6,1

BD,2020-03-23,6,1

BD,2020-03-22,2,0

BD,2020-03-21,5,1

BD,2020-03-20,3,0

BD,2020-03-19,3,0

BD,2020-03-18,4,1

BD,2020-03-17,2,0

BD,2020-03-16,3,0

BD,2020-03-15,2,0

BD,2020-03-13,0,0

BD,2020-03-11,0,0

BD,2020-03-10,0,0

BD,2020-03-08,3,0

BB,2020-04-16,2,0

BB,2020-04-15,1,1

BB,2020-04-14,0,0

BB,2020-04-13,1,0

BB,2020-04-12,3,0

BB,2020-04-11,1,0

BB,2020-04-10,1,1

BB,2020-04-09,3,0

BB,2020-04-08,0,0

BB,2020-04-07,3,1

BB,2020-04-06,4,1

BB,2020-04-05,4,1

BB,2020-04-04,1,0

BB,2020-04-03,5,0

BB,2020-04-02,12,0

BB,2020-04-01,0,0

BB,2020-03-31,1,0

BB,2020-03-30,0,0

BB,2020-03-29,7,0

BB,2020-03-28,2,0

BB,2020-03-27,6,0

BB,2020-03-26,0,0

BB,2020-03-25,0,0

BB,2020-03-24,1,0

BB,2020-03-23,3,0

BB,2020-03-22,8,0

BB,2020-03-21,1,0

BB,2020-03-19,3,0

BB,2020-03-18,0,0

BB,2020-03-17,2,0

BY,2020-04-16,476,4

BY,2020-04-15,447,3

BY,2020-04-14,362,4

BY,2020-04-13,341,3

BY,2020-04-12,352,3

BY,2020-04-11,245,4

BY,2020-04-10,495,3

BY,2020-04-09,420,3

BY,2020-04-08,205,0

BY,2020-04-07,161,0

BY,2020-04-06,138,5

BY,2020-04-05,122,3

BY,2020-04-04,89,1

BY,2020-04-03,47,0

BY,2020-04-02,141,2

BY,2020-04-01,11,1

BY,2020-03-31,0,1

BY,2020-03-30,58,0

BY,2020-03-29,0,0

BY,2020-03-28,0,0

BY,2020-03-27,8,0

BY,2020-03-26,0,0

BY,2020-03-25,5,0

BY,2020-03-24,0,0

BY,2020-03-23,5,0

BY,2020-03-21,7,0

BY,2020-03-20,18,0

BY,2020-03-18,15,0

BY,2020-03-16,9,0

BY,2020-03-13,15,0

BY,2020-03-12,0,0

BY,2020-03-11,18,0

BY,2020-03-10,3,0

BY,2020-03-09,0,0

BY,2020-03-04,5,0

BY,2020-02-28,1,0

BE,2020-04-16,1236,417

BE,2020-04-15,2454,283

BE,2020-04-14,530,254

BE,2020-04-13,942,303

BE,2020-04-12,1629,254

BE,2020-04-11,1351,327

BE,2020-04-10,1684,496

BE,2020-04-09,1580,283

BE,2020-04-08,1209,205

BE,2020-04-07,1380,403

BE,2020-04-06,1123,185

BE,2020-04-05,1260,164

BE,2020-04-04,1661,140

BE,2020-04-03,1422,132

BE,2020-04-02,1384,183

BE,2020-04-01,1189,123

BE,2020-03-31,876,192

BE,2020-03-30,1063,82

BE,2020-03-29,1702,78

BE,2020-03-28,1850,64

BE,2020-03-27,1049,69

BE,2020-03-26,1298,42

BE,2020-03-25,668,56

BE,2020-03-24,526,34

BE,2020-03-23,342,13

BE,2020-03-22,586,8

BE,2020-03-21,558,30

BE,2020-03-20,462,16

BE,2020-03-19,309,7

BE,2020-03-18,243,4

BE,2020-03-17,185,5

BE,2020-03-16,172,1

BE,2020-03-15,197,0

BE,2020-03-14,130,1

BE,2020-03-13,245,0

